,MTOPDomainClassification,ArguAna,StackExchangeClustering.v2,MassiveIntentClassification,STS12,MindSmallReranking,AskUbuntuDupQuestions,STS22.v2,MedrxivClusteringS2S.v2,SICK-R,StackExchangeClusteringP2P.v2,Banking77Classification,SprintDuplicateQuestions,MassiveScenarioClassification,STS13,AmazonCounterfactualClassification,STS14,FEVERHardNegatives,SCIDOCS,ToxicConversationsClassification,STS17,ArXivHierarchicalClusteringP2P,MedrxivClusteringP2P.v2,TwentyNewsgroupsClustering.v2,ArXivHierarchicalClusteringS2S,TwitterSemEval2015,TRECCOVID,TwitterURLCorpus,BIOSSES,ClimateFEVERHardNegatives,TweetSentimentExtractionClassification,STS15,STSBenchmark,CQADupstackGamingRetrieval,Touche2020Retrieval.v3,CQADupstackUnixRetrieval,ImdbClassification,HotpotQAHardNegatives,FiQA2018,BiorxivClusteringP2P.v2,SummEvalSummarization.v2
ibm-granite/granite-embedding-small-english-r2,0.901505,0.54398,0.582824,0.67078,0.674098,0.304159,0.648343,0.668478,0.359982,0.688621,0.406761,0.836299,0.949257,0.727875,0.805687,0.617761,0.729385,0.87581,0.24059,0.593701,0.851797,0.571,0.364628,0.447717,0.58042,0.581539,0.64666,0.827706,0.86502,0.31688,0.500481,0.838624,0.77103,0.62437,0.56253,0.51134,0.6037,0.66231,0.40808,0.408814,0.26738
voyageai/voyage-3,0.8715,0.60956,0.527743,0.637525,0.695154,0.319257,0.615229,0.696028,0.357999,0.796314,0.385496,0.738019,0.901969,0.709987,0.805623,0.603731,0.733251,0.75679,0.21429,0.607275,0.868132,0.55695,0.351939,0.443912,0.569548,0.618417,0.8046,0.836063,0.879171,0.26974,0.512847,0.803908,0.795318,0.59902,0.4577,0.46085,0.896756,0.65109,0.52277,0.394713,0.288655
Mihaiii/Ivysaur,0.921249,0.55783,0.512396,0.703531,0.6858158236004102,0.317776266029616,0.5969637278242267,0.673878,0.337055,0.7563155962642634,0.39198,0.8191558441558439,0.9511999931294784,0.748857,0.8054473705232682,0.720896,0.7762868051470301,0.66124,0.18636,0.65458984375,0.8857042379845549,0.573228,0.366592,0.395984,0.535422,0.6997192936786295,0.60324,0.8508920672765428,0.8731584497244751,0.22191,0.5865874363327673,0.8615687211744393,0.8424952159575492,0.54652,0.54212,0.38387,0.8079959999999999,0.57313,0.30709,0.414341,0.278674
Snowflake/snowflake-arctic-embed-m-v1.5,0.896831,0.5953,0.576073,0.616543,0.649088,0.3020503776754942,0.6159766728865784,0.69589,0.3303219239415609,0.700345,0.415307,0.800064935064935,0.945158,0.690316,0.736707,0.637612,0.652493,0.88652,0.2149,0.632959,0.805787,0.563888,0.3541598539873297,0.429756,0.532505,0.6328210387064517,0.84634,0.821362,0.8640317357420093,0.37261,0.53907753254103,0.767534,0.694352,0.62686,0.64982,0.4654,0.8435640000000001,0.72368,0.42396,0.370338,0.298883
Snowflake/snowflake-arctic-embed-s,0.899111,0.56874,0.52803,0.628379,0.687854092887031,0.3060182741396859,0.6114929026697924,0.713378,0.325725,0.6966114097154584,0.400655,0.7911688311688312,0.952776439040401,0.691123,0.7961879435615303,0.651045,0.7557574519760183,0.82113,0.1942,0.6196360000000001,0.8673200885328938,0.553871,0.344885,0.39729,0.527564,0.6577588818364636,0.81388,0.8515414684113987,0.8626521862357489,0.31627,0.5890492359932088,0.8464256921939338,0.8118789220331483,0.60161,0.68016,0.42487,0.6948679999999999,0.6674,0.39682,0.383143,0.324851
hotchpotch/bekko-embedding-v1-a8m,0.914774,0.55413,0.515445,0.652152,0.766207,0.31346,0.59065,0.6545,0.333051,0.719193,0.376905,0.79487,0.963094,0.710928,0.803475,0.720896,0.778922,0.73528,0.19432,0.682471,0.871844,0.54496,0.352208,0.444634,0.521138,0.655918,0.53351,0.85333,0.88093,0.21719,0.59966,0.872158,0.8445,0.57056,0.61273,0.35589,0.752632,0.65723,0.33962,0.391591,0.281904
Snowflake/snowflake-arctic-embed-m,0.859599,0.56436,0.571668,0.528178,0.6696821894433991,0.2917001989609191,0.6053175025582013,0.672094,0.341667,0.6912484963763645,0.442062,0.8033766233766232,0.952119647374584,0.609314,0.7911530011173249,0.641194,0.6850538405089605,0.89293,0.21097,0.649346,0.8146108646565362,0.574973,0.35286,0.395893,0.575568,0.6328364302860433,0.7964600000000001,0.8471928330149229,0.8662245567912619,0.39767,0.5672608941709111,0.7992003940566668,0.740981396086974,0.62339,0.65374,0.45068,0.74082,0.7384,0.4240299999999999,0.383746,0.196331
intfloat/e5-small-v2,0.904834,0.41794,0.4655300833419639,0.6560524546065906,0.737079788758814,0.3009687498674075,0.5810811337308168,0.6629904599827411,0.3150336772588932,0.792507216483598,0.381701495052936,0.8163636363636364,0.9508344066205744,0.710491,0.8231720264513166,0.7665671641791045,0.8006919084564517,0.817,0.17714,0.6373046875,0.8758094863633612,0.538363445953143,0.3480660307591203,0.4120522308548668,0.5286100414159316,0.7334325409809446,0.74373,0.859557793642612,0.794289182755206,0.23194,0.6146293152235427,0.8720998142742838,0.8491603276683479,0.55707,0.49828,0.35971,0.8600280000000001,0.66892,0.3743399999999999,0.3746484651424325,0.332283
intfloat/e5-small,0.878773,0.4669299999999999,0.4832468137399329,0.644687,0.7518834516024511,0.295641496834822,0.5935843292105327,0.647665,0.3231702728191858,0.789003023008781,0.3661429204340775,0.8187337662337661,0.9532449994414968,0.687794,0.8179962989974363,0.734179,0.7848371403924872,0.5649,0.16419,0.7276460000000001,0.8794243515296604,0.54796,0.3445973726395133,0.3833947263662072,0.54653,0.7415520712370555,0.7677700000000001,0.8578879502899772,0.8421637675860022,0.17362,0.6330503678551217,0.8749276894673141,0.8636336704300167,0.53334,0.56571,0.34288,0.7554919999999999,0.57955,0.34795,0.3816344531951946,0.310609
sdadas/mmlw-e5-small,0.916575,0.58723,0.545177,0.735373,0.770012,0.305939,0.604326,0.639111,0.351667,0.785342,0.391366,0.835195,0.953685,0.777539,0.820848,0.748507,0.803341,0.52983,0.0636,0.634863,0.860075,0.59169,0.368133,0.435728,0.541129,0.667444,0.38702,0.839994,0.729143,0.1519,0.622015,0.859778,0.843509,0.41326,0.46957,0.21849,0.792072,0.56811,0.24713,0.408031,0.320884
intfloat/multilingual-e5-base,0.9090059279525764,0.44206,0.445731971756278,0.6570611970410221,0.7669682068361314,0.2928481590011214,0.5927737716715097,0.6226431175977708,0.3121134364031596,0.7851396550478342,0.3887716556409143,0.7352597402597402,0.9301551354758208,0.7157363819771352,0.7802330106775197,0.7735820895522388,0.7659646479642243,0.79694,0.17168,0.643310546875,0.8783657234280028,0.5668313660694407,0.3350877396562453,0.3580297426607293,0.5611505558712511,0.7220673741515874,0.69492,0.8548080278022832,0.8505193796610385,0.24219,0.6279852857951329,0.8815964513683959,0.8563930748879539,0.59127,0.51705,0.36769,0.842892,0.69221,0.38146,0.3886775349952909,0.2717022673086651
Lajavaness/bilingual-embedding-small,0.910351,0.53594,0.505889,0.702186,0.7939117869636217,0.3091900589298694,0.5678685528593245,0.656196,0.323403,0.7464910820402831,0.387605,0.8031493506493506,0.9453929097513268,0.750841,0.853226077419183,0.731194,0.8389978896960656,0.65791,0.16203,0.625244140625,0.8576725038940407,0.552794,0.341211,0.412949,0.525221,0.6802422564958267,0.4678899999999999,0.8647944792205788,0.8398625103310173,0.20793,0.5960384833050367,0.8846744045180212,0.860757276289371,0.53062,0.42267,0.33363,0.73702,0.60512,0.24467,0.375005,0.29839
ibm-granite/granite-embedding-30m-english,0.894505,0.56356,0.575859,0.64768,0.647738,0.30883,0.641329,0.674747,0.360891,0.687981,0.390832,0.773247,0.9417,0.713416,0.793253,0.609254,0.701701,0.86474,0.22542,0.629395,0.846497,0.570169,0.362956,0.43233,0.568468,0.600317,0.63098,0.825792,0.881641,0.30609,0.528721,0.820343,0.780444,0.59318,0.53834,0.46071,0.622348,0.63059,0.36851,0.4248,0.241702
voyageai/voyage-3-lite,0.905176,0.60139,0.562448,0.664627,0.70758,0.318282,0.605767,0.66933,0.325631,0.766482,0.397576,0.768506,0.894701,0.719435,0.765052,0.635821,0.719166,0.69838,0.19119,0.618604,0.8718,0.568291,0.363005,0.431109,0.551711,0.626433,0.76499,0.840877,0.851875,0.23324,0.568393,0.811019,0.785603,0.57165,0.53075,0.41305,0.730392,0.60805,0.41688,0.400315,0.30488
sentence-transformers/all-MiniLM-L6-v2,0.916780665754674,0.50167,0.4516804504194582,0.6693678547410895,0.7236899998079941,0.3080238779483695,0.634768168123733,0.6771118263513062,0.3544035140379833,0.7758245525469719,0.4034756263973665,0.8004220779220779,0.9455063045792448,0.738097,0.8060316722220763,0.6364179104477612,0.7558912408385123,0.54766,0.21641,0.620947265625,0.8758779089494525,0.5910688886391535,0.3760657190392798,0.460185975355403,0.5454234024039991,0.6785804899562047,0.47232,0.8470165732885377,0.8164041444909368,0.20658,0.5404357668364459,0.8538961998125277,0.8203247283076371,0.56923,0.49713,0.4131,0.61764,0.49886,0.36867,0.4098869307232508,0.2595832768105533
Haon-Chen/e5-omni-3B,0.934747,0.50514,0.494899,0.710356,0.705632,0.30268,0.60828,0.691429,0.361751,0.779943,0.393061,0.731851,0.85755,0.750437,0.781292,0.593582,0.70343,0.69817,0.24317,0.56543,0.860855,0.586593,0.354644,0.473888,0.596863,0.614036,0.79441,0.798057,0.757071,0.29172,0.467091,0.776699,0.772862,0.52494,0.44622,0.39273,0.676796,0.74748,0.47472,0.408004,0.247226
ibm-granite/granite-embedding-278m-multilingual,0.898997,0.55244,0.532453,0.639509,0.751911,0.305381,0.623443,0.681508,0.329799,0.687448,0.384622,0.780617,0.935084,0.70928,0.773053,0.71806,0.749479,0.85574,0.17721,0.624805,0.785929,0.547465,0.354313,0.388703,0.540382,0.644131,0.68573,0.861545,0.816362,0.30364,0.583616,0.860174,0.784076,0.56369,0.58304,0.45275,0.630232,0.6137,0.35663,0.385069,0.296914
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.8923848609211127,0.48908,0.4623543847597703,0.6932078009414929,0.7789525808313972,0.3014945408214671,0.6016365489308333,0.6351847725882376,0.3616079235509771,0.7962205774287165,0.3823080684000874,0.810974025974026,0.9109871555441388,0.7534633490248823,0.851067656701606,0.7580597014925373,0.8080585658408256,0.61566,0.13965,0.65556640625,0.8699305255112367,0.5534276670530136,0.3577323534270601,0.4518810129399374,0.5516032759428068,0.6875271734826854,0.37872,0.8532492627482752,0.7627462953544198,0.16378,0.5903791737408035,0.8748018793840922,0.8682218476677823,0.44836,0.50002,0.31501,0.645752,0.43405,0.22964,0.3606975904035859,0.294549004940152
Mihaiii/gte-micro-v4,0.908755,0.47368,0.547458,0.691056,0.726714,0.315554,0.5801141755339977,0.654157,0.342006,0.761108,0.376187,0.8092207792207791,0.9553621808930456,0.741594,0.821624,0.718507,0.781707,0.55036,0.16243,0.6604019999999999,0.881136,0.55395,0.36007,0.414093,0.529036,0.6777652401372911,0.49032,0.8468882859374923,0.851875,0.205,0.5942840973401244,0.86281,0.839242,0.49647,0.50578,0.28419,0.719568,0.55749,0.22549,0.388749,0.285933
Haon-Chen/e5-omni-7B,0.937255,0.39721,0.50585,0.694048,0.731984,0.30784,0.59803,0.299832,0.34928,0.794731,0.431393,0.756916,0.92346,0.764896,0.795747,0.610149,0.698088,0.68997,0.22765,0.594727,0.852869,0.577803,0.361663,0.448788,0.576711,0.564427,0.80033,0.780083,0.779909,0.23253,0.535399,0.776018,0.761849,0.55895,0.42842,0.38022,0.710912,0.69078,0.47691,0.419391,0.231865
intfloat/multilingual-e5-small,0.891268,0.39088,0.502063,0.642031,0.780543,0.299644,0.56424,0.642763,0.3194738139843245,0.786312,0.379598,0.706396,0.935791,0.689845,0.774714,0.714328,0.775423,0.76084,0.13896,0.635254,0.871582,0.52699,0.3434933017832062,0.333582,0.538085,0.728198,0.72287,0.858645,0.843754,0.22898,0.618166,0.874871,0.835893,0.54832,0.50351,0.35349,0.758176,0.66431,0.33126,0.365442,0.29219
Tevatron/OmniEmbed-v0.1,0.894026,0.73318,0.548027,0.669166,0.607236,0.2852,0.61656,0.348262,0.365291,0.725971,0.430218,0.737305,0.727289,0.735104,0.74591,0.641045,0.690513,0.71094,0.25287,0.564795,0.748139,0.583027,0.352851,0.437914,0.605773,0.586315,0.69372,0.739619,0.824139,0.24877,0.47159,0.766405,0.692817,0.54508,0.31907,0.42067,0.672112,0.80197,0.48998,0.409231,0.217926
Snowflake/snowflake-arctic-embed-xs,0.894596,0.52081,0.534311,0.592804,0.6589916377105551,0.3025630875691664,0.6025381587694928,0.688682,0.316915,0.6925663754345259,0.401885,0.7637337662337663,0.949637560003136,0.69193,0.7786961921643416,0.584179,0.7281574657995401,0.82937,0.18355,0.6430500000000001,0.844948593656943,0.549722,0.335661,0.387615,0.516956,0.6431539216162541,0.79431,0.8470041593996576,0.8405432487336698,0.30187,0.561941143180532,0.834885552472602,0.7918395553127086,0.57055,0.64584,0.40096,0.6280240000000001,0.67224,0.34523,0.352493,0.279607
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,0.909348,0.43975,0.485842,0.695662,0.7893043293576132,0.292014,0.588147,0.618451,0.316389,0.7939435627520158,0.362055,0.809026,0.89418,0.737122,0.8273032633919926,0.783731,0.8164974497557361,0.51411,0.12865,0.649463,0.871502,0.526607,0.3234,0.389243,0.525286,0.707183,0.3851,0.860714,0.7743670420687278,0.165,0.599095,0.8762163215009723,0.8616303183485594,0.44022,0.44278,0.29135,0.647472,0.37738,0.19543,0.323849,0.306423
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,0.915755,0.51001,0.481736,0.689845,0.6765074099726466,0.2973337424086118,0.5860277379507158,0.669787,0.279924,0.7555405115197729,0.408578,0.8615909090909091,0.9130057039245252,0.720074,0.8389765011154986,0.775075,0.7697256789216159,0.21085,0.15345,0.707112,0.8558485422591948,0.581675,0.348189,0.243899,0.520759,0.6876039123104324,0.55665,0.8276174215711473,0.8329045204631967,0.09255,0.6089983022071308,0.8380216382863032,0.8041509666334722,0.50707,0.11431,0.32722,0.7795399999999999,0.35995,0.27244,0.39412,0.266902
Mihaiii/Bulbasaur,0.907866,0.44798,0.528627,0.688198,0.6949541146727839,0.317776266029616,0.5748977560227009,0.641217,0.317803,0.7604335461102429,0.367677,0.8057792207792207,0.953535743677476,0.737559,0.8096085686108583,0.718657,0.7708348207580887,0.47443,0.15312,0.662939453125,0.8803461344591357,0.548762,0.347521,0.398454,0.519981,0.6807824251821404,0.47773,0.8474905878045149,0.8504832342591278,0.18494,0.5949066213921902,0.8541548418250478,0.8333681512924129,0.4761599999999999,0.46212,0.26104,0.7152719999999999,0.54566,0.21291,0.372338,0.277645
ibm-granite/granite-embedding-107m-multilingual,0.889193,0.51663,0.526249,0.625185,0.747362,0.303048,0.619001,0.675823,0.320464,0.684656,0.383553,0.759481,0.940777,0.693645,0.756399,0.716716,0.731976,0.83936,0.1738,0.603809,0.786966,0.550976,0.353212,0.351025,0.527251,0.616413,0.62815,0.856694,0.792952,0.2624,0.585371,0.850551,0.769844,0.53655,0.54262,0.41801,0.6291,0.58947,0.28404,0.376204,0.27826
bigscience/sgpt-bloom-7b1-msmarco,0.9368217054263565,0.47282,0.331096,0.6967047747141897,0.6966180222442091,0.3178500788325657,0.5997321570342109,0.660436,0.213865,0.6981522686267632,0.362524,0.8433441558441558,0.9492527097094644,0.7533624747814394,0.7966529244176742,0.6805970149253732,0.746076920702392,0.68807,0.18619,0.6654519999999999,0.8706554974065622,0.52787,0.314385,0.118711,0.502851,0.6530753664579191,0.81368,0.8546387153880272,0.8531459455332202,0.21748,0.558545557441992,0.8380600789090722,0.8089611873505183,0.32349,0.20636,0.19861,0.61772,0.48004,0.35836,0.332526,0.249529
Gameselo/STS-multilingual-mpnet-base-v2,0.861856,0.41501,0.397963,0.640249,0.954619,0.283327,0.566002,0.638535,0.300454,0.946525,0.366591,0.798864,0.915748,0.682246,0.977636,0.726716,0.975293,0.32095,0.09396,0.628027,0.0093787415349975,0.515432,0.272966,0.325026,0.49367,0.707626,0.28936,0.850724,0.969167,0.09657,0.580306,0.981124,0.0097624863523355,0.33808,0.32156,0.22241,0.582736,0.30616,0.14952,0.213935,0.27095
jinaai/jina-embeddings-v2-base-en,0.207022,0.44181,0.350735,0.072663,0.7427447427941591,0.3054091905698254,0.6224772569490403,0.078951,0.164698,0.796487740813199,0.265794,0.8401298701298701,0.9530034785910676,0.129657,0.8417947648159536,0.52791,0.7880745014464101,0.0,0.19863,0.733474,0.8887813323759015,0.471547,0.15453,0.091135,0.474875,0.747367761466634,0.65913,0.8608681215460772,0.8123438110096286,0.00018,0.62062818336163,0.8755320285299192,0.8484429717949759,0.56516,0.0,0.38656,0.794408,0.00024,0.41579,0.057369,0.060433
manu/sentence_croissant_alpha_v0.4,0.900638,0.52089,0.502529,0.667149,0.65681,0.313758,0.579326,0.663595,0.325353,0.676309,0.392317,0.812662,0.893511,0.718695,0.812605,0.678358,0.740395,0.73763,0.15231,0.591699,0.862573,0.585928,0.337423,0.395262,0.544624,0.568326,0.60495,0.837323,0.76327,0.24337,0.537832,0.807361,0.797631,0.45293,0.52222,0.31312,0.7205,0.48719,0.28348,0.373948,0.284595
manu/sentence_croissant_alpha_v0.3,0.903922,0.44385,0.492321,0.667989,0.683499,0.310733,0.573794,0.668825,0.317283,0.688972,0.386294,0.811721,0.906748,0.714963,0.826089,0.712239,0.759534,0.74474,0.15313,0.637988,0.866988,0.550984,0.324354,0.390147,0.515448,0.600675,0.60587,0.838207,0.787759,0.2394,0.542615,0.828973,0.821903,0.4938,0.47963,0.32284,0.695372,0.49237,0.28587,0.353287,0.257571
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.8703374373005015,0.44878,0.4347170993769946,0.6688971082716879,0.7602134324654332,0.3037083963981608,0.6048755233381351,0.6206613570590437,0.3543956788289761,0.7960669235249621,0.374808920761608,0.7979545454545455,0.9114959431815378,0.7154337592468056,0.8069594195489891,0.7155223880597015,0.7885313504683503,0.58614,0.13778,0.60126953125,0.8686762395650826,0.5361794435755446,0.3474628627190173,0.4072220948121814,0.5224573621152333,0.6506317644827732,0.39345,0.8383014551116796,0.7417578653115743,0.1948,0.5610356536502547,0.858377178673668,0.8441678852971709,0.44331,0.48841,0.32168,0.6046159999999999,0.37547,0.20326,0.3618343272247487,0.2692255191946517
manu/sentence_croissant_alpha_v0.2,0.903899,0.48372,0.499431,0.655716,0.655476,0.315857,0.551326,0.642162,0.327564,0.64878,0.403748,0.80474,0.87745,0.715972,0.789081,0.675373,0.715049,0.69632,0.14885,0.632422,0.866948,0.595187,0.338193,0.365912,0.548091,0.550817,0.55811,0.827212,0.731336,0.25482,0.545671,0.799044,0.771476,0.44108,0.45025,0.29606,0.71148,0.46547,0.26704,0.375165,0.287012
ai-forever/ru-en-RoSBERTa,0.837574,0.46085,0.525582,0.607028,0.676231,0.311207,0.564741,0.663336,0.312764,0.731819,0.375204,0.712825,0.882446,0.675252,0.780072,0.675522,0.714767,0.70996,0.14939,0.637158,0.862391,0.567633,0.364014,0.37913,0.518268,0.546186,0.63167,0.812472,0.73827,0.23237,0.604697,0.836179,0.799474,0.47052,0.54759,0.30296,0.802612,0.55164,0.25728,0.368041,0.279992
sergeyzh/LaBSE-ru-turbo,0.899909,0.46568,0.45374,0.649227,0.724468,0.291898,0.559147,0.63105,0.28176,0.755673,0.370709,0.735422,0.943927,0.710625,0.789802,0.740149,0.766976,0.50399,0.11703,0.642773,0.864895,0.530679,0.333698,0.263845,0.493219,0.647563,0.30522,0.841816,0.80297,0.14084,0.634918,0.856228,0.818233,0.44794,0.38119,0.27605,0.715828,0.56984,0.21012,0.330822,0.327413
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,0.864637,0.40791,0.483682,0.658541,0.7738689922564416,0.299463,0.583463,0.613263,0.311501,0.7961914245705792,0.360795,0.779481,0.89785,0.705716,0.7958989311630421,0.757015,0.7978614320477877,0.3954,0.10929,0.617285,0.85945,0.526815,0.315893,0.349951,0.516348,0.665613,0.30658,0.847153,0.6941362982941537,0.14835,0.579683,0.8621134464371615,0.843492527221498,0.39857,0.42135,0.27285,0.606212,0.3229,0.15424,0.335766,0.280443
Mihaiii/Wartortle,0.882353,0.35865,0.503785,0.622697,0.751886741501174,0.3027968813284564,0.540887502643707,0.634256,0.297903,0.7823859592249686,0.363554,0.7107467532467531,0.9015934028795765,0.682179,0.7933304952540263,0.70403,0.7656213113240312,0.38824,0.11124,0.651513671875,0.8661476790521185,0.556376,0.323423,0.32984,0.521376,0.6748296380006166,0.35736,0.845306725053528,0.8077894903688736,0.14332,0.625438596491228,0.847000298638952,0.8179344031651781,0.3707399999999999,0.16876,0.20742,0.745976,0.50406,0.08098,0.3489,0.293062
Mihaiii/gte-micro,0.866895,0.37981,0.537685,0.590282,0.748905,0.31,0.5531231078673702,0.584728,0.309776,0.769542,0.364398,0.6956168831168832,0.9435547438808533,0.665871,0.816578,0.688209,0.76658,0.24811,0.11194,0.661018,0.859479,0.544466,0.31795,0.420221,0.522401,0.6385440662982004,0.41904,0.8407115766409341,0.810555,0.07225,0.6077532541029994,0.849759,0.801173,0.41004,0.29484,0.20259,0.6217159999999999,0.5174,0.11027,0.331825,0.287575
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,0.853466,0.41699,0.473132,0.636651,0.7921432176112556,0.292394,0.5368,0.637696,0.283286,0.7703286420274621,0.353922,0.702955,0.901768,0.683087,0.7954963868861197,0.726567,0.7884601702652395,0.2834,0.09626,0.665918,0.832936,0.52145,0.331463,0.313022,0.495583,0.684249,0.27311,0.851038,0.7666439745271297,0.13023,0.646038,0.8560821849381648,0.8204996129795596,0.3459,0.2611,0.20967,0.650308,0.28251,0.12217,0.318139,0.318318
omarelshehy/arabic-english-sts-matryoshka,0.823894,0.2325,0.480493,0.65928,0.788377,0.283065,0.522246,0.643968,0.282098,0.779915,0.353921,0.764091,0.819392,0.700168,0.820074,0.696866,0.793489,0.09639,0.06284,0.674707,0.8705959159411456,0.525282,0.320355,0.310899,0.50487,0.680053,0.22262,0.829793,0.686486,0.09804,0.604669,0.855924,0.840891,0.24175,0.25066,0.12559,0.827496,0.15523,0.08851,0.320096,0.350661
minishlab/potion-base-32M,0.90611,0.42864,0.515282,0.651379,0.62725,0.30667,0.5423,0.642583,0.292404,0.656685,0.369211,0.747825,0.925546,0.713887,0.775936,0.745522,0.729035,0.36131,0.13587,0.704346,0.870599,0.564517,0.332577,0.373439,0.510737,0.591538,0.41931,0.827974,0.775566,0.20925,0.565846,0.807592,0.768385,0.41524,0.48228,0.21052,0.70126,0.42482,0.17976,0.341639,0.247396
minishlab/potion-retrieval-32M,0.841176,0.44878,0.492904,0.570276,0.613784,0.30126,0.53664,0.676576,0.28798,0.66508,0.374667,0.696916,0.923928,0.631103,0.73606,0.733881,0.704635,0.46266,0.13693,0.676025,0.861128,0.56268,0.340447,0.356335,0.526903,0.546299,0.4469,0.821258,0.787801,0.23433,0.532909,0.811203,0.740959,0.38125,0.50905,0.19771,0.678984,0.50085,0.18761,0.363843,0.20836
encord-team/ebind-full,0.914432,0.20697,0.607372,0.610995,0.688575,0.29906,0.52873,0.484362,0.343733,0.763171,0.405703,0.637597,0.940143,0.724781,0.699115,0.587463,0.648397,0.71317,0.13224,0.60332,0.824624,0.564564,0.339654,0.464472,0.566479,0.508665,0.43863,0.789839,0.699865,0.21494,0.550764,0.762918,0.724238,0.35695,0.3655,0.25507,0.573432,0.38018,0.13074,0.346831,0.183975
Mihaiii/Squirtle,0.872686,0.3114,0.485537,0.615198,0.7015243619467687,0.3008851471366607,0.5234437201252938,0.612002,0.283515,0.7733681018334156,0.354061,0.6712987012987013,0.8553918872229502,0.67041,0.7841580967540903,0.69597,0.7476063270848232,0.32239,0.09931,0.6447265625,0.8585093351857286,0.527656,0.314881,0.297541,0.512098,0.675636169518733,0.39479,0.829449637573502,0.7177814153774398,0.11474,0.6179966044142614,0.8200177922226122,0.7920891358738937,0.31618,0.15982,0.18311,0.749528,0.43638,0.06425,0.328506,0.28585
minishlab/potion-base-8M,0.889558,0.41966,0.503733,0.637929,0.6224898505553053,0.2943172228494217,0.5413950871400633,0.630796,0.283238,0.646753400763881,0.367811,0.7263636363636362,0.9020131927652946,0.703093,0.7727600787572996,0.71791,0.71914099628002,0.33518,0.1238699999999999,0.690625,0.8596709815630739,0.550836,0.315201,0.331746,0.492501,0.5751605092409027,0.45747,0.8213756947863086,0.7585775256673795,0.18724,0.5538766270514996,0.7975345871163103,0.7540519061413277,0.39235,0.43816,0.2006199999999999,0.7078,0.3904,0.16619,0.334368,0.250647
aari1995/German_Semantic_STS_V2,0.832171,0.28395,0.483474,0.637761,0.72034,0.300574,0.542644,0.602182,0.281392,0.74191,0.323905,0.771234,0.845699,0.683423,0.850315,0.681045,0.812143,0.16757,0.06332,0.58291,0.833857,0.516332,0.297785,0.319154,0.497461,0.609051,0.2834,0.815084,0.741884,0.09623,0.559593,0.863155,0.82564,0.27994,0.15755,0.16208,0.67224,0.20672,0.07624,0.297661,0.308841
Mihaiii/Venusaur,0.898723,0.348,0.44258,0.677505,0.5434570729554049,0.2992479661072482,0.5377098221532506,0.625649,0.267342,0.7468461406509038,0.34308,0.779512987012987,0.8943047814044381,0.723638,0.7424315395719762,0.731791,0.6999484176761607,0.30171,0.0939,0.644091796875,0.8481452353756737,0.52231,0.313147,0.264265,0.499912,0.6932917418684202,0.30272,0.8333289584854239,0.7759453912854976,0.09116,0.5966327108092813,0.7573762657362906,0.7672196352753278,0.31793,0.33423,0.17574,0.7302000000000001,0.44157,0.11713,0.331241,0.259188
minishlab/potion-base-4M,0.856156,0.39449,0.50914,0.606725,0.6237621006422606,0.2902521111985885,0.538035628617227,0.633577,0.281897,0.6398613448451591,0.373873,0.6969480519480519,0.8987404753184794,0.669469,0.7681750749576634,0.683881,0.7098200491385814,0.30459,0.10976,0.67724609375,0.8449159199501017,0.534201,0.318408,0.326877,0.497568,0.5541179927209218,0.43236,0.8081688006755318,0.7187392685280749,0.16775,0.5420486700622524,0.7866432028882325,0.7428444387078392,0.35807,0.40013,0.17681,0.7078880000000001,0.35712,0.14184,0.315656,0.238178
sentence-transformers/LaBSE,0.8607843137254901,0.34178,0.3023336637133089,0.6143913920645596,0.6508166563535989,0.2980663057768548,0.5274554205247115,0.6162746263388221,0.2927016122448821,0.6999188482038212,0.3530287908721971,0.6985064935064935,0.8926375293062657,0.6643577673167451,0.6797543550218779,0.7589552238805971,0.6403144384844788,0.17619,0.05632,0.632373046875,0.794489242794021,0.5344270249920056,0.3375144873879118,0.2419320748154697,0.4998606448922311,0.6277629953322184,0.16339,0.8458219134995364,0.7869576904009746,0.06142,0.5882569326542162,0.7659341752268845,0.7225055941558153,0.29623,0.16569,0.21336,0.62042,0.26096,0.06999,0.3242786213317428,0.332723190693774
sentence-transformers/static-similarity-mrl-multilingual-v1,0.869403,0.44107,0.3057,0.597512,0.7157,0.289553,0.542234,0.584302,0.228301,0.683204,0.334957,0.757078,0.921152,0.66113,0.743251,0.692687,0.728186,0.27462,0.10891,0.60083,0.868702,0.477162,0.276006,0.178996,0.398134,0.618395,0.35368,0.831149,0.755873,0.16677,0.488568,0.825291,0.799425,0.3951,0.4563,0.20986,0.630492,0.33948,0.13505,0.293004,0.261971
